normalized_name,final_genre,platform_genre,research_genre,tavily_genre,source_summary
jaackmaates happy hour podcast,Comedy,,Comedy,,Research
jack cocchiarella show,Sports,,Sports,,Internet Research
jre clips,Interview & Talk,,Interview & Talk,,Research
kill tony,Comedy,,Comedy,Comedy,Research + Tavily research
kottbruder germanletsplay paluten,Comedy,Comedy,,,Amazon platform
kurt krömer feelings,Comedy,Comedy,,,Amazon platform
la corneta,Comedy,Comedy,,,Amazon platform
la corneta extendida,Comedy,Comedy,,,Amazon platform
las culturistas with matt rogers and bowen yang,Comedy,,Comedy,,Research
last podcast on the left,True Crime,,True Crime,True Crime,Research + Tavily research
law&crime sidebar with jesse weber,True Crime,,,True Crime,Tavily research
lawcrime sidebar with jesse weber,News & Politics,,News & Politics,,Research
legal af podcast,News & Politics,,News & Politics,,Internet Research
lex fridman podcast,Education,,Education,,Research
matt and shane's secret podcast,Comedy,,,Comedy,Tavily research
matt and shanes secret podcast,Comedy,,,Comedy,Tavily research
morbid,True Crime,True Crime,True Crime,True Crime,Amazon platform + Amazon match + Tavily research
mord auf ex,True Crime,True Crime,,,Amazon platform
mordlust,True Crime,True Crime,,,Amazon platform
mrballen podcast strange dark mysterious stories,True Crime,True Crime,True Crime,,Amazon platform + Amazon match
"mrballen podcast: strange, dark & mysterious stories",True Crime,,,True Crime,Tavily research
mrballen's medical mysteries,True Crime,,,True Crime,Tavily research
mrballens medical mysteries,True Crime,True Crime,,,Amazon platform
murder mystery makeup,True Crime,,True Crime,,Internet Research
"murder, mystery & makeup",True Crime,,,True Crime,Tavily research
my favorite murder with karen kilgariff and georgia hardstark,True Crime,True Crime,True Crime,True Crime,Amazon platform + Amazon match + Tavily research
nbc nightly news with tom llamas,News & Politics,,News & Politics,News & Politics,Internet Research + Tavily research
new heights with jason & travis kelce,Sports,,,Sports,Tavily research
new heights with jason travis kelce,Sports,,Sports,,Research
not gonna lie with kylie kelce,Sports,,Sports,Sports,Internet Research + Tavily research
npr news now,News & Politics,News,,News & Politics,Amazon platform + Tavily research
on purpose with jay shetty,Interview & Talk,,Education,Interview & Talk,Research + Tavily research
pardon my take,Sports,Sports,Sports,Sports,Amazon platform + Research + Tavily research
pka painkiller already,Comedy,,Comedy,,Research
redhanded,True Crime,True Crime,,True Crime,Amazon platform + Tavily research
relatos de la noche,Entertainment,,,Entertainment,Tavily research
rof daily updates,News & Politics,,News & Politics,,Internet Research
rolandmartinunfiltered,News & Politics,,News & Politics,,Internet Research
rotten mango,True Crime,,True Crime,True Crime,Research + Tavily research
shawn ryan show,Interview & Talk,,Interview & Talk,Interview & Talk,Internet Research + Tavily research
small town murder,Comedy,Comedy,,True Crime,Amazon platform + Tavily research
smartless,Comedy,Comedy,Comedy,Interview & Talk,Amazon platform + Amazon match + Tavily research
smosh reads reddit stories,Comedy,,Comedy,Comedy,Internet Research + Tavily research
snapped women who murder,True Crime,True Crime,,,Amazon platform
snapped: women who murder,True Crime,,,True Crime,Tavily research
stuff you should know,Education,,Education,Education,Research + Tavily research
the adam mockler show,News & Politics,,News & Politics,,Internet Research
the ben shapiro show,News & Politics,,News & Politics,News & Politics,Research + Tavily research
the bill simmons podcast,Sports,,,Sports,Tavily research
the bobby bones show,Entertainment,,Entertainment,Entertainment,Research + Tavily research
the breakfast club,Entertainment,,Entertainment,Entertainment,Research + Tavily research
the candace owens show,News & Politics,,News & Politics,,Research
the charlie kirk show,News & Politics,,News & Politics,,Research
the daily,News & Politics,News,News & Politics,News & Politics,Amazon platform + Research + Tavily research
the dan bongino show,News & Politics,,News & Politics,,Research
the devory darkins show,News & Politics,,News & Politics,,Internet Research
the diary of a ceo with steven bartlett,Business,,Business,,Research
the h3 podcast,Comedy,,Comedy,,Research
the herd with colin cowherd,Sports,,Sports,Sports,Internet Research + Tavily research
the intersection with michael popok,News & Politics,,News & Politics,,Internet Research
the joe rogan experience,Interview & Talk,,Interview & Talk,Interview & Talk,Research + Tavily research
the luke beasley show,News & Politics,,News & Politics,,Research
the megyn kelly show,News & Politics,,,News & Politics,Tavily research
the meidastouch podcast,News & Politics,,News & Politics,News & Politics,Research + Tavily research
the mel robbins podcast,Interview & Talk,,,Interview & Talk,Tavily research
the pbd podcast,Business,,Business,,Research
the philip defranco show (every mon-tues-wed-thurs-friday!),Entertainment,,,Entertainment,Tavily research
the philip defranco show every montueswedthursfriday,News & Politics,,News & Politics,,Internet Research
the ramsey show,Business,,Business,Business,Research + Tavily research
the ramsey show highlights,Business,,Business,,Internet Research
the shawn ryan show,Interview & Talk,,Interview & Talk,,Research
the steve harvey morning show,Entertainment,,Entertainment,Entertainment,Research + Tavily research
the tim dillon show,Comedy,,Comedy,,Research
the toast,Entertainment,,,Entertainment,Tavily research
the tucker carlson show,News & Politics,,News & Politics,News & Politics,Research + Tavily research
the why files operation podcast,Education,,Education,,Research
the young turks,News & Politics,,News & Politics,News & Politics,Internet Research + Tavily research
theo von this past weekend,Comedy,,Comedy,,Research
this past weekend w theo von,Comedy,,Comedy,,Internet Research
this past weekend w/ theo von,Comedy,,,Comedy,Tavily research
timcast news stories,News & Politics,,News & Politics,News & Politics,Internet Research + Tavily research
tmg podcast,Comedy,,Comedy,,Research
trash taste,Entertainment,,Entertainment,,Research
two hot takes,True Crime,,,True Crime,Tavily research
up first from npr,News & Politics,News,,News & Politics,Amazon platform + Tavily research
wait wait dont tell me,Comedy,,Comedy,,Internet Research
wait wait... don't tell me!,Comedy,,,Comedy,Tavily research
wow in the world,Education,,,Education,Tavily research
äffchen mit käffchen,Comedy,Comedy,,,Amazon platform
"подкасты - мировая политика: сша, китай, россия, украина",News & Politics,,,News & Politics,Tavily research
подкасты мировая политика сша китай россия украина,News & Politics,,News & Politics,,Internet Research
کلیپ کوتاه استند آپ کمدیهای مکس امینی,Comedy,,Comedy,,Internet Research
安住紳一郎の日曜天国,Comedy,Leisure,,Comedy,Amazon platform + Tavily research
pod save america,News & Politics,,,News & Politics,Apple + Tavily research
the dan le batard show with stugotz,Sports,,,Sports,Apple + Tavily research
the ezra klein show,News & Politics,,,News & Politics,Apple + Tavily research
morning wire,News & Politics,,,News & Politics,Apple + Tavily research
the joe budden podcast,Entertainment,,,Entertainment,Apple + Tavily research
the rest is history,Education,,,Education,Apple + Tavily research
